gname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,nlog10,color,shape
AT5G62560,56.47914035498283,-0.15251453492286418,0.3893970884110911,-0.39166840087374455,0.6953032408029254,0.9996587219459798,AT5G62560,0.00014824047270472056,nobody_cares,not_important
AT5G62570,219.39310396617878,-0.38552819416589423,0.2268124196891686,-1.6997666825045785,0.08917482081178212,0.7351236547659048,AT5G62570,0.133639602323154,nobody_cares,not_important
AT5G62575,419.03801184471456,-0.1266024942877701,0.24732124077772863,-0.5118949504282557,0.6087245323906305,0.9996587219459798,SDH7,0.00014824047270472056,nobody_cares,not_important
AT5G62580,181.72542073188146,0.1913150035032998,0.2370484416632071,0.8070713401909458,0.41962538285966666,0.9936442567730717,AT5G62580,0.0027690733226007356,nobody_cares,not_important
AT5G62600,271.1235359838977,-0.033602041478158304,0.2398789980382861,-0.14007913053228288,0.8885974694255022,0.9996587219459798,MOS14,0.00014824047270472056,nobody_cares,not_important
AT5G62610,120.79378375910474,-0.2987248404194368,0.3107080004736229,-0.961432727718888,0.336334635197686,0.9828866182559047,AT5G62610,0.007496577697694501,nobody_cares,not_important
AT5G62620,37.49566653791316,0.9299440329999216,0.5011358974449057,1.8556723590174629,0.06350027295489101,0.6646265060811478,AT5G62620,0.1774223425408597,nobody_cares,not_important
AT5G62630,529.0369221095581,-0.21488521816167774,0.22407566319386688,-0.9589850816407596,0.3375662606905593,0.9828866182559047,HIPL2,0.007496577697694501,nobody_cares,not_important
AT5G62640,322.75185555033534,-0.06671811700119641,0.24004927829187384,-0.2779350868119438,0.7810621892146333,0.9996587219459798,ELF5,0.00014824047270472056,nobody_cares,not_important
AT5G62650,115.780664936733,-0.08575597861153807,0.3228547787794323,-0.2656178079065225,0.7905335694028401,0.9996587219459798,AT5G62650,0.00014824047270472056,nobody_cares,not_important
AT5G62670,112.7747647309048,0.07138355300825296,0.2847360329660067,0.2507008061630721,0.8020454373531066,0.9996587219459798,HA11,0.00014824047270472056,nobody_cares,not_important
AT5G62680,163.21909306425454,0.6757171586223258,0.26001415958553575,2.5987706196440357,0.009355826742356457,0.2856422281957885,GTR2,0.5441775878036783,nobody_cares,not_important
AT5G62690,1443.3881770584583,0.16256981610988763,0.23544153890507052,0.6904890991875287,0.4898866627192946,0.9948139029856512,TUB2,0.002258153892895503,nobody_cares,not_important
AT5G62700,1583.5834191087245,0.2418803947215967,0.2224510300262322,1.0873422105218993,0.2768856005028054,0.9669450033571132,TUB3,0.014598226452426087,nobody_cares,not_important
AT5G62710,496.19630423455067,0.16917144964038117,0.22133437319960905,0.764325247790658,0.44467344317782453,0.9936442567730717,AT5G62710,0.0027690733226007356,nobody_cares,not_important
AT5G62720,160.1253330011667,-0.3637213907286883,0.444720411666691,-0.8178652951088068,0.4134341089837421,0.9936442567730717,AT5G62720,0.0027690733226007356,nobody_cares,not_important
AT5G62740,98.18334834533064,-0.24321457054951867,0.41270848537846455,-0.5893132299581495,0.555651171530968,0.9996587219459798,HIR1,0.00014824047270472056,nobody_cares,not_important
AT5G62760,53.31021633212074,0.680115211527933,0.4339351413905893,1.567319967100232,0.11703992050137396,0.8112991174007703,AT5G62760,0.09081899648385515,nobody_cares,not_important
AT5G62770,135.0455106561903,-0.4395609645215892,0.27970193900646,-1.5715334905541614,0.11605878153965288,0.8090881066353042,AT5G62770,0.0920041827856989,nobody_cares,not_important
AT5G62790,264.97538188331475,0.06121737980853263,0.23645678317617427,0.25889458101492513,0.7957165794060096,0.9996587219459798,DXR,0.00014824047270472056,nobody_cares,not_important
AT5G62810,205.10927349377022,-0.18381428763401453,0.2733170821060093,-0.6725312820466887,0.5012455322686911,0.9971515459216744,PEX14,0.0012388331065998775,nobody_cares,not_important
AT5G62820,48.4445446308403,0.4891292505605746,0.37157104694986576,1.3163814957481612,0.18804602999003373,0.898862245695382,AT5G62820,0.04630686056755439,nobody_cares,not_important
AT5G62865,167.19233728848934,-0.41173758678402556,0.2940002738126711,-1.4004666779540942,0.16137361510045134,0.8702310535109878,AT5G62865,0.060365423309634125,nobody_cares,not_important
AT5G62880,170.5023786917658,-0.2893331497043792,0.27571664956404407,-1.0493858465270964,0.29400056962710186,0.9689262266922407,RAC10,0.013709288542801434,nobody_cares,not_important
AT5G62890,747.878997832214,0.20475360223071154,0.20647685487405365,0.9916540154372593,0.32136633011158056,0.9793206247439491,AT5G62890,0.009075099044240772,nobody_cares,not_important
AT5G62900,39.91209600406211,-0.25597251283986233,0.5666767204004702,-0.4517081849753183,0.6514792209633331,0.9996587219459798,AT5G62900,0.00014824047270472056,nobody_cares,not_important
AT5G62910,169.3462694278831,-0.19054982072050575,0.2702293369821602,-0.7051411325228738,0.48072241120488224,0.9943488231448834,AT5G62910,0.0024612359329086926,nobody_cares,not_important
AT5G62920,97.01726287448521,0.4332164261200373,0.4357296459503695,0.9942321578215074,0.3201098556027977,0.9782102301887683,ARR6,0.009567799609912643,nobody_cares,not_important
AT5G62930,334.9107405073054,0.2311262823396535,0.24833416347720644,0.9307067505469001,0.3520052768168451,0.9861020068400269,AT5G62930,0.006078157354617371,nobody_cares,not_important
AT5G62940,43.54619747036539,-0.31369157926656716,0.42798839817452855,-0.7329441185895125,0.46359251299728665,0.9936442567730717,HCA2,0.0027690733226007356,nobody_cares,not_important
AT5G62950,343.0255421480085,0.0033204386064007137,0.24071544433198547,0.01379404057606413,0.9889942970137516,0.9996587219459798,AT5G62950,0.00014824047270472056,nobody_cares,not_important
AT5G62960,22.9547065405483,-0.13353727456964612,0.6267334547268869,-0.21306868743401924,0.8312733876524075,0.9996587219459798,AT5G62960,0.00014824047270472056,nobody_cares,not_important
AT5G62980,46.05176229998585,-0.4824521899752438,0.48975385270595856,-0.9850911581596101,0.3245792960838594,0.9805904084428732,FOLB2,0.008512359081585921,nobody_cares,not_important
AT5G62990,27.954466952988156,-1.0443438726126877,0.6808529608372057,-1.5338757891696881,0.12506021321944016,0.8212427690896954,emb1692,0.08552844130829006,nobody_cares,not_important
AT5G63000,130.5865324434767,0.5340586934152389,0.31256493375890465,1.7086327854908459,0.08751899167900701,0.7291341303286953,AT5G63000,0.13719257222619216,nobody_cares,not_important
AT5G63010,50.913268467569225,-0.14389257865166388,0.4561548919675371,-0.3154467510608308,0.7524224751063927,0.9996587219459798,AT5G63010,0.00014824047270472056,nobody_cares,not_important
AT5G63020,38.86213767972736,-0.21909112899059943,0.40925028317394,-0.5353475318121675,0.5924095641985525,0.9996587219459798,AT5G63020,0.00014824047270472056,nobody_cares,not_important
AT5G63030,498.4801122409474,-0.15094020102207145,0.19158182599343207,-0.7878628374031996,0.4307769407168631,0.9936442567730717,GRXC1,0.0027690733226007356,nobody_cares,not_important
AT5G63040,33.607572959352304,0.6296567437522863,0.44836508777067424,1.404339367462833,0.1602178166992867,0.869875021798797,AT5G63040,0.06054313961364408,nobody_cares,not_important
AT5G63050,51.58537149240578,0.6728611856785823,0.4869581857679461,1.3817637845382191,0.16704424227351966,0.8800005621215523,EMB2759,0.05551705043368324,nobody_cares,not_important
AT5G63100,21.225936571877067,-0.41903497663958955,0.7773729335404568,-0.5390398334698152,0.5898593694303063,0.9996587219459798,AT5G63100,0.00014824047270472056,nobody_cares,not_important
AT5G63110,212.05584090889496,-0.029499121633237906,0.24566410158547727,-0.12007908946750966,0.9044204967101176,0.9996587219459798,HDA6,0.00014824047270472056,nobody_cares,not_important
AT5G63120,71.41443278166346,-0.04720854694829867,0.3405039374368741,-0.13864317488854486,0.8897321241294529,0.9996587219459798,AT5G63120,0.00014824047270472056,nobody_cares,not_important
AT5G63130,16.203008631169062,-0.551834256499979,0.680574155777826,-0.8108363384285279,0.4174596632719395,0.9936442567730717,AT5G63130,0.0027690733226007356,nobody_cares,not_important
AT5G63135,72.64176985912002,-0.16897604284555823,0.33826741056464,-0.4995339118347269,0.6174033026484907,0.9996587219459798,AT5G63135,0.00014824047270472056,nobody_cares,not_important
AT5G63140,43.771917648012725,0.4060488685092224,0.5515746655895684,0.7361630144401283,0.4616314976474212,0.9936442567730717,PAP29,0.0027690733226007356,nobody_cares,not_important
AT5G63150,304.0432204763036,0.05039578994853455,0.20593595952960614,0.24471583332822192,0.806676467515983,0.9996587219459798,AT5G63150,0.00014824047270472056,nobody_cares,not_important
AT5G63160,784.570248001216,-2.4106741555169995,0.5222364045041894,-4.6160591922075795,3.910954408913446e-06,0.0008426982913734652,BT1,3.0743278866386596,picked2,picked4
AT5G63190,1554.143611615388,-0.4561241982169834,0.16035363661590712,-2.844489266617205,0.004448268451181616,0.1798231548035253,AT5G63190,0.7451543873750611,nobody_cares,not_important
AT5G63200,179.13275316963347,0.06122483604811015,0.2679934968760072,0.2284564243603161,0.819291428699173,0.9996587219459798,AT5G63200,0.00014824047270472056,nobody_cares,not_important
AT5G63220,106.28096753948232,0.33666490100249125,0.2863881690119737,1.1755545006065367,0.2397729463665197,0.9407249168243571,AT5G63220,0.026537352737036835,nobody_cares,not_important
AT5G63260,234.02425620913215,0.05180374003185488,0.40845841243401426,0.12682745281987226,0.8990769669795148,0.9996587219459798,AT5G63260,0.00014824047270472056,nobody_cares,not_important
AT5G63270,63.92229477243282,0.20828455036128074,0.4481313682482687,0.464784581305831,0.6420857305220043,0.9996587219459798,AT5G63270,0.00014824047270472056,nobody_cares,not_important
AT5G63280,96.16894955177162,0.23978699399939418,0.2992663292005549,0.8012494911804784,0.42298722497372643,0.9936442567730717,AT5G63280,0.0027690733226007356,nobody_cares,not_important
AT5G63310,239.6045892605237,0.07604105809175583,0.25463386904179147,0.2986290016245863,0.7652231345358129,0.9996587219459798,NDPK2,0.00014824047270472056,nobody_cares,not_important
AT5G63320,741.8662161351244,-0.18681268374288454,0.22195158415199395,-0.8416821373753023,0.39996589938303884,0.9936442567730717,NPX1,0.0027690733226007356,nobody_cares,not_important
AT5G63370,874.2552481272296,-0.35558459121671987,0.19958645686139936,-1.7816068124484605,0.07481337272828356,0.6994373936154554,AT5G63370,0.1552511529722525,nobody_cares,not_important
AT5G63380,116.52806875885881,0.5814317128478985,0.34166429544891835,1.7017631651675682,0.08879977411560064,0.7333218350533258,AT5G63380,0.13470538345933056,nobody_cares,not_important
AT5G63400,716.627769540454,0.19264172954361217,0.19752635901028603,0.9752709993180225,0.32942585190953444,0.9828866182559047,ADK1,0.007496577697694501,nobody_cares,not_important
AT5G63410,182.87349898725634,-0.3071008983864707,0.28587888226034636,-1.0742342909638136,0.28271768698360233,0.9669450033571132,AT5G63410,0.014598226452426087,nobody_cares,not_important
AT5G63420,32.302418683750346,0.45240439600468985,0.49070083453052493,0.9219556278878658,0.35655172111488675,0.9862437314003871,emb2746,0.006015744164650536,nobody_cares,not_important
AT5G63440,78.46280059385984,0.14346844408072168,0.3692488913810785,0.3885412994582479,0.6976154973663753,0.9996587219459798,AT5G63440,0.00014824047270472056,nobody_cares,not_important
AT5G63450,44.73293543772318,0.6308966619345836,0.5356875169763144,1.1777326182541583,0.23890321881035326,0.9393747376270325,CYP94B1,0.02716112337003901,nobody_cares,not_important
AT5G63460,205.777595726116,0.05420842392243827,0.22038369745892686,0.24597293060908534,0.8057031870887965,0.9996587219459798,AT5G63460,0.00014824047270472056,nobody_cares,not_important
AT5G63470,103.87731970065933,0.10241257788319152,0.3241883511845792,0.31590455828834546,0.7520749519586821,0.9996587219459798,NF-YC4,0.00014824047270472056,nobody_cares,not_important
AT5G63480,18.111333162708995,-0.40986325808220214,0.6597173527723132,-0.6212709978899968,0.5344213325382314,0.9996587219459798,AT5G63480,0.00014824047270472056,nobody_cares,not_important
AT5G63490,306.3778042736062,0.015840663831010994,0.3069089280429827,0.05161356475362131,0.9588366106368861,0.9996587219459798,AT5G63490,0.00014824047270472056,nobody_cares,not_important
AT5G63500,412.6709239665481,-0.0848094531475527,0.2588291430794249,-0.32766578036202004,0.7431643795050198,0.9996587219459798,AT5G63500,0.00014824047270472056,nobody_cares,not_important
AT5G63510,600.4068549674372,-0.06672182717371337,0.20150800685910272,-0.3311125359915163,0.7405594828864722,0.9996587219459798,GAMMA CAL1,0.00014824047270472056,nobody_cares,not_important
AT5G63520,39.65595516684957,0.2100547958494766,0.41681881400262577,0.5039474917947282,0.6142982759417395,0.9996587219459798,AT5G63520,0.00014824047270472056,nobody_cares,not_important
AT5G63530,85.50474455983205,0.06390846912516362,0.349525699656818,0.18284340518569073,0.854920890245985,0.9996587219459798,FP3,0.00014824047270472056,nobody_cares,not_important
AT5G63550,374.3346239685602,0.2626836792022973,0.21897365388112944,1.1996131705638706,0.23028960907827656,0.9336548346558445,AT5G63550,0.029813649583602036,nobody_cares,not_important
AT5G63560,597.5409107534701,-0.004937135617912738,0.25524638637504693,-0.0193426268948558,0.9845677789359264,0.9996587219459798,FACT,0.00014824047270472056,nobody_cares,not_important
AT5G63570,513.5995101893982,-0.37833813954073486,0.2439383668073406,-1.550957909952482,0.12091177100730234,0.8189105396431181,GSA1,0.08676353934022918,nobody_cares,not_important
AT5G63590,354.74962566529814,0.6660026758251232,0.25393693224474573,2.6227089928897245,0.008723374719939192,0.2707423551324174,FLS3,0.5674437975675736,nobody_cares,not_important
AT5G63595,105.89258146892877,0.4373735695023563,0.3255368494128322,1.343545501196694,0.17909540288934545,0.8921930434662955,FLS4,0.04954116732616553,nobody_cares,not_important
AT5G63600,777.7847563666076,-0.9083203109028815,0.24420316912215315,-3.7195271223058106,0.0001995961145239518,0.020871383112789774,FLS5,1.6804487699882584,nobody_cares,picked3
AT5G63610,317.47929483117866,-0.1705866061323647,0.2268395338848344,-0.7520144447967826,0.45204237215436205,0.9936442567730717,CDKE;1,0.0027690733226007356,nobody_cares,not_important
AT5G63620,475.5138663274262,-0.3270268258838398,0.2252061255655746,-1.4521222505052043,0.1464676161315165,0.8544752095500241,AT5G63620,0.06830053272300597,nobody_cares,not_important
AT5G63630,19.469990529239396,0.48690001687577517,0.8304828592821845,0.586285450005097,0.5576837070290637,0.9996587219459798,AT5G63630,0.00014824047270472056,nobody_cares,not_important
